objname,z,n,t,GALEX_NUV,WISE_3.4,SPIRE_250,u-r,r-J,type
ESO097-013,0.001448717563349522,6.31,3.3,,6.19324787565,183.766810943,,,1.0
ESO149-001,0.006374714093192013,1.07,8.0,0.0101792661303,0.0583138934098,0.916853216725,,,1.0
ESO149-013,0.0050160416072020375,1.12,9.9,-6.09061992741E-7,0.00175041427454,0.0496298134121,,,1.0
ESO157-047,0.005535808127858033,2.59,0.0,6.82843064391E-4,0.00309386172236,0.151231887406,,,0.0
ESO157-049,0.005612957918968098,0.51,5.3,5.60152654678E-4,0.0329412888921,,,,1.0
ESO209-009,0.0037395743848487317,1.38,6.1,,0.408012348864,25.7407209591,,,1.0
ESO240-004,0.005260801040776419,0.75,6.7,7.27097590551E-4,0.00224176789818,0.155344048971,,,1.0
ESO289-020,0.0030434000277372864,1.63,4.6,5.62757624041E-4,0.0018375046948,0.152989830336,,,1.0
ESO351-030,3.66987844752531E-4,0.54,-4.8,3.25421930849E-6,1.42267835302E-4,,,,0.0
ESO358-006,0.004275424320970167,0.8,-3.8,2.14553640796E-4,-2.02700319789E-4,-0.0235262556979,,,0.0
ESO358-015,0.004640637283139348,1.16,8.7,6.07726094992E-4,0.00336077597469,0.0381793173817,,,1.0
ESO358-016,0.005686758972198724,1.1,7.1,2.18769991417E-4,0.00206901855348,0.164221887698,,,1.0
ESO358-019,0.004191678762353268,1.69,-3.0,1.09505547769E-4,0.0034952530489,0.0427437668722,,,0.0
ESO358-042,0.0038031914839815606,1.76,-2.2,6.55816698238E-5,0.00352258589308,-0.157737354087,,,0.0
ESO358-043,0.004576966665983173,1.62,-3.0,1.74108837047E-4,0.00996035592941,0.184657047544,,,0.0
ESO358-050,0.004195028449482274,1.86,-2.1,8.36501124626E-4,0.0476545146523,0.147162490076,,,0.0
ESO358-051,0.005767275459337418,1.64,0.3,0.00165519967535,0.0152707735908,0.734140370673,,,0.0
ESO358-054,0.002959757947882169,1.31,7.9,0.00236770399006,0.00848505798292,0.519852296752,,,1.0
ESO358-056,0.003973973261544694,0.96,-2.2,1.47314806668E-4,0.0048393390682,-0.0773519717386,,,0.0
ESO358-059,0.0034115085735992867,3.98,-3.3,2.28128125168E-4,0.0247727826956,-0.0415199845852,,,0.0
ESO358-060,0.0026821165461219376,0.83,9.8,7.77324859885E-4,7.40076883181E-4,0.0125438274531,,,1.0
ESO358-063,0.006455286325827592,1.47,6.9,0.00313358344754,0.117722278572,7.46302477175,,,1.0
ESO358-066,0.006210232732623444,1.13,-3.8,9.88824552655E-5,0.00422271563288,0.0128903603637,,,0.0
ESO359-002,0.00478139731141658,1.57,-3.4,8.39191472226E-4,0.0173577571443,-0.172378792544,,,0.0
ESO373-008,0.003093588644057288,1.43,6.1,,0.129480451531,9.76695359327,,,1.0
ESO377-039,0.00950504869386215,0.92,3.3,7.86531745775E-4,0.00858482633809,0.207777077015,,,1.0
ESO405-014,,0.45,6.1,3.80646481487E-4,0.00269192337473,,,,1.0
ESO406-031,0.0053278689297995285,0.95,2.2,3.00020994379E-4,0.0137317833166,0.377640212532,,,1.0
ESO407-002,0.005680049559211309,1.14,-0.5,8.22129285701E-4,0.0239922832975,0.88793221984,,,0.0
ESO407-018,2.0683112858033148E-4,0.82,9.8,0.00344205378134,0.0272474007268,0.0538155085346,,,1.0
ESO410-005,5.305076305182066E-4,0.8,0.4,5.05196639644E-4,0.0033235104522,0.0498914754084,,,0.0
ESO410-012,0.005166913591578837,1.07,4.7,4.40077501773E-4,0.0011383335625,,,,1.0
ESO410-018,0.005290981031282671,1.23,8.9,0.00300504327617,0.0081804195903,0.441162648606,,,1.0
ESO411-013,0.005888062416270712,0.67,9.0,7.24305530734E-4,0.0247762874359,0.116070202541,,,1.0
ESO411-016,0.005965239544118539,1.06,1.8,8.15290991385E-4,0.00353040334344,0.154725603842,,,1.0
ESO411-026,0.005284274287600255,1.24,9.0,4.70551124268E-4,0.00181783420734,0.0898618740904,,,1.0
ESO411-027,0.006119611776844058,0.86,5.7,3.84335862694E-4,0.00108150754658,0.0800211933609,,,1.0
ESO434-040,0.008522183076534073,20.0,-1.3,,0.139399741104,0.115411333938,,,0.0
ESO471-006,8.910130861814469E-4,0.85,8.6,0.00496848693503,0.0105672567841,0.167611256012,,,1.0
ESO493-016,0.008878864096598882,1.66,4.0,0.422965625478,0.141310116446,15.3307958162,,,1.0
ESO495-021,0.002916266839189108,4.97,-2.6,,0.136655479431,7.14275746399,,,0.0
ESO549-035,0.0059484613979710055,1.72,6.0,9.04136223206E-4,0.002678286747,0.205632846585,,,1.0
ESO560-004,0.0073084099178999384,1.53,4.2,,0.102181785928,4.07798376021,,,1.0
ESO603-031,0.007604151331137121,1.45,1.0,0.00113616447545,0.00776930221936,0.349201198619,,,1.0
HS98117,-1.2341110007352274E-4,19.98,10.0,5.58338735544E-5,0.00894677498509,-0.129756651627,,,1.0
IC0010,-0.0011601301008175025,0.96,9.9,82.6366512013,3.93563423666,110.582864955,,,1.0
IC0335,0.005415063946231591,1.48,-2.1,4.67986828289E-4,0.0735757691855,0.0544324006401,,,0.0
IC0342,1.034102163477435E-4,2.58,6.0,0.793172545091,8.61621611714,581.690508644,,,1.0
IC0610,0.003910345255603298,0.92,3.7,,0.0491257796251,2.79977025425,2.721011718512827,1.3132104129006308,1.0
IC0691,0.0040007652168889685,7.29,-2.0,0.00163606314512,0.0275614369622,1.284512208,1.6688684411222852,0.7157811234175568,0.0
IC0755,0.0050965038185970535,1.8,3.9,0.00336561651084,0.0113374539529,0.770608770382,1.0421727139333825,0.06919419346734657,1.0
IC0781,0.004560211917246315,2.64,-2.7,3.28650138261E-4,0.018865628058,0.0780748576957,2.2089973942895256,0.10545237580193856,0.0
IC0782,0.008118548001148973,2.55,0.4,2.4075613363E-4,0.0270937942678,0.0201248512119,2.2121417604499385,0.8675134367961803,0.0
